Wavelength,Value
350,9.64208566901047E-05
351,0.000105581676278339
352,8.99897807997324E-05
353,9.75081314987682E-05
354,9.78203769549838E-05
355,9.19635624819548E-05
356,0.00010384494292251
357,9.14786140999561E-05
358,8.11526156296858E-05
359,9.21834592452832E-05
360,8.34120851006915E-05
361,8.88497089897529E-05
362,9.13139050203896E-05
363,9.19152037077974E-05
364,0.000111533047737144
365,0.000100755046263219
366,8.64394691275361E-05
367,8.18677352052658E-05
368,8.40319082539393E-05
369,7.30995506580789E-05
370,8.61383112716665E-05
371,8.33021408943056E-05
372,7.79465879510919E-05
373,8.35999184673497E-05
374,7.81763953910911E-05
375,7.5958463593661E-05
376,8.04303784609645E-05
377,8.07326373464643E-05
378,7.15257043730802E-05
379,8.12512701305621E-05
380,7.98963002320963E-05
381,7.94742783043437E-05
382,6.85138641166831E-05
383,6.9626819869609E-05
384,7.19626137245684E-05
385,7.65464382593078E-05
386,8.04985192843117E-05
387,7.42803656470808E-05
388,7.78263419019102E-05
389,7.27775790575476E-05
390,7.33891949078481E-05
391,7.6375862296819E-05
392,7.92559240115592E-05
393,8.68632035923068E-05
394,8.99199873963419E-05
395,9.52105679522684E-05
396,9.74769170117134E-05
397,9.91371557720795E-05
398,0.000105104647223838
399,0.000116670594383722
400,0.000125553171475001
401,0.000133431209801315
402,0.000145545888997204
403,0.000160800370942211
404,0.000177104740825686
405,0.000204036343748358
406,0.000223643207590991
407,0.000253853550291778
408,0.000290900783181286
409,0.000325591819804189
410,0.000367562795071818
411,0.000408575258397268
412,0.000460665920532498
413,0.000511814605512629
414,0.000568650113550364
415,0.000639659195879856
416,0.000710508709745064
417,0.000778651018956034
418,0.000868027197815756
419,0.000968067496705867
420,0.00106177956166279
421,0.00116910852294575
422,0.00129413821500894
423,0.00141951971995968
424,0.00155465714189945
425,0.00170283705550745
426,0.00185802421022818
427,0.0020377432855381
428,0.00220284008812741
429,0.0024246686062816
430,0.00259934056588905
431,0.00281780172160576
432,0.00303968411654749
433,0.0032886960176411
434,0.00354802721936447
435,0.00382852340723829
436,0.0041430111280669
437,0.0044623498722623
438,0.00483497762321926
439,0.0051840025166068
440,0.00563851965382001
441,0.0060185743199024
442,0.00642994559421928
443,0.00681667010598827
444,0.00713862788509396
445,0.00738054810629877
446,0.00753551148666904
447,0.0076208150723582
448,0.00754125583273467
449,0.00730389137092959
450,0.00705124758694897
451,0.00671080538993139
452,0.00631104167178556
453,0.00588982119279776
454,0.0055705088220375
455,0.00521255559613472
456,0.0049441284502331
457,0.00469024213412516
458,0.00446862717144524
459,0.00432850695432385
460,0.00415994425879208
461,0.00402944669883814
462,0.00387658070678597
463,0.00372183282598859
464,0.00358093980148482
465,0.00345171362306684
466,0.00329223214161102
467,0.00316300662562829
468,0.00301156096853544
469,0.00290867841692277
470,0.00281077774999404
471,0.00274433533046552
472,0.00268039380115419
473,0.00266465509082701
474,0.0026405971780535
475,0.0026522355401504
476,0.00267282676148211
477,0.00272164433407553
478,0.00275553037488565
479,0.00280731297183137
480,0.0028874219218982
481,0.00297230015280177
482,0.00307178381907888
483,0.00316039777006987
484,0.00326470319504346
485,0.00339079943786654
486,0.00348806302692956
487,0.00363158360166988
488,0.00377838986917081
489,0.00392395836451259
490,0.00406916735942126
491,0.00423756539418956
492,0.00440838160533563
493,0.00457482176205582
494,0.00475816196681215
495,0.00490662878833237
496,0.00507369874153204
497,0.00524585584431875
498,0.00542272423299789
499,0.00556803544474688
500,0.00571577587280987
501,0.00587693243909497
502,0.00602765309304991
503,0.00616772799654409
504,0.00630168775804859
505,0.00644183117353174
506,0.00658177038284892
507,0.00669096313090615
508,0.00683824570841711
509,0.00695753446236548
510,0.00706379046667261
511,0.00715967740220617
512,0.00726853602088322
513,0.00736737610758895
514,0.00747003949494225
515,0.00757475858053932
516,0.00763612163651573
517,0.00771071237864444
518,0.00781108659203517
519,0.00789344058762297
520,0.00796423032930068
521,0.00805022928943437
522,0.00812850563164538
523,0.00819320048221416
524,0.00826966339112318
525,0.0083459680320803
526,0.0084215308723832
527,0.00848675623545765
528,0.00856378708730266
529,0.00863885343812401
530,0.00871662774479958
531,0.00876395407171147
532,0.00886438038545332
533,0.00893382660113371
534,0.00898912493992011
535,0.00907953321373906
536,0.00914187666381628
537,0.00922549313961563
538,0.00931107879622762
539,0.00935596239571783
540,0.009473347318547
541,0.00955170597100734
542,0.0096442413822175
543,0.00973409490063775
544,0.00982059566292419
545,0.00991429948105387
546,0.0100127083340804
547,0.0101268481599514
548,0.0102187505708159
549,0.0103369631304772
550,0.0104810550811359
551,0.0105409298639579
552,0.01069570755751
553,0.0108216698659847
554,0.0109094119587336
555,0.0110690762127103
556,0.0112047468000948
557,0.0113513387989079
558,0.0114747842962381
559,0.0116237667545815
560,0.0117859052024219
561,0.0119187501090717
562,0.0120510253100598
563,0.0121854361589693
564,0.0123122579877604
565,0.0124815739544171
566,0.0126332043209174
567,0.0127868514456537
568,0.0129571074557331
569,0.0130621868630243
570,0.0132337073138273
571,0.0133817190804349
572,0.0135244454145714
573,0.0136708590098974
574,0.01382611673023
575,0.0139511895133777
576,0.0140791550922935
577,0.0142379563378693
578,0.0144078189423995
579,0.0145376511043986
580,0.0146758334454659
581,0.014813198899853
582,0.0149245079407592
583,0.0150568915360079
584,0.0151912449931912
585,0.0153268140805962
586,0.0154531379322568
587,0.0155563024792294
588,0.0156415741608934
589,0.0157066142255635
590,0.0158363354388377
591,0.0159129346003872
592,0.0159359480513462
593,0.0160246024296603
594,0.016040696970641
595,0.0160783456791229
596,0.0161290153155015
597,0.0161266667856188
598,0.0161373600187044
599,0.0161288463192709
600,0.0161527311108175
601,0.0161427952621182
602,0.0161090169233162
603,0.0160783096649795
604,0.0160333299235055
605,0.0159898802653385
606,0.015899795319501
607,0.0158889294529052
608,0.015794916960717
609,0.015713409085087
610,0.015659452218753
611,0.0155563104362942
612,0.0154774095299907
613,0.0153670359574467
614,0.0152580917737086
615,0.0151196078445502
616,0.0150142287921291
617,0.0149005777299559
618,0.0147808384816439
619,0.0146226793582459
620,0.0144781886050632
621,0.0143484323705119
622,0.0141878541724614
623,0.0140110738936142
624,0.013851342623736
625,0.0136789456530129
626,0.0135090231329249
627,0.0133223666538045
628,0.0131408576359607
629,0.0129479421558107
630,0.0127619254276942
631,0.0125873735194897
632,0.0123760367616336
633,0.0122133141075986
634,0.0119989557043828
635,0.0118088446983719
636,0.0115840468340202
637,0.0114090618838105
638,0.0112248401396536
639,0.0110287672790045
640,0.0108127118774989
641,0.0106202681760721
642,0.0104275116380686
643,0.0102513095576694
644,0.0100486062640346
645,0.00985702324510069
646,0.00965234982869136
647,0.00948533920409643
648,0.00928812458237806
649,0.00910109341284185
650,0.008896579825743
651,0.00872272919371342
652,0.0085332165147185
653,0.00836244064665755
654,0.00817225441974822
655,0.00799003330133819
656,0.00779117574726426
657,0.00763658646010124
658,0.00746490250839043
659,0.00728174553495299
660,0.00711622075739131
661,0.00695226529392195
662,0.00678487055028267
663,0.00661919682030646
664,0.00645880425076012
665,0.00630546880784614
666,0.00614740610286961
667,0.00598153197802533
668,0.00583295039800388
669,0.00569010913686034
670,0.005557836821647
671,0.00541403822460523
672,0.00525994674180192
673,0.00513414560832349
674,0.00499266100351383
675,0.00487535057412878
676,0.00474529077247302
677,0.00461596238253788
678,0.00449776891664116
679,0.00437825908886008
680,0.00426396134385869
681,0.00414349814853881
682,0.00403786546683971
683,0.0039295794618655
684,0.00382639402817159
685,0.00371137707176763
686,0.00360851205128331
687,0.003509896886711
688,0.00341616304900308
689,0.00332406390139595
690,0.0032319207290903
691,0.0031416725046839
692,0.0030525381604033
693,0.00296961338629041
694,0.00286965088698552
695,0.00279472705200876
696,0.00271500032235816
697,0.00263453728931633
698,0.00255489199084401
699,0.00247987402133191
700,0.00240574641771194
701,0.00233851114844627
702,0.00227139022203382
703,0.00220312238921574
704,0.00213608563014917
705,0.00207265957809612
706,0.00201212548086331
707,0.00195121948024533
708,0.00189622799185267
709,0.0018392226258006
710,0.00178126129927302
711,0.0017307678451915
712,0.00168191745543974
713,0.00163443999625095
714,0.00158356737766279
715,0.00154000267439579
716,0.00149301719120513
717,0.0014462542362956
718,0.00140325631256853
719,0.00136323266855063
720,0.0013232669019505
721,0.00128098113319889
722,0.00124103170577954
723,0.00121098137110824
724,0.00116659854774424
725,0.00113367155177629
726,0.00110001597535538
727,0.00106817437660148
728,0.00103681841152713
729,0.00100172672997483
730,0.000971665008212972
731,0.000943148432772887
732,0.000912838176067787
733,0.000883701319655875
734,0.000854454300989645
735,0.000829830121588602
736,0.000808027112785431
737,0.000779642025192194
738,0.000756265986216033
739,0.000736699193191213
740,0.000709728603376826
741,0.000690344515761049
742,0.000670315592969663
743,0.000650833603444959
744,0.000630504365774325
745,0.000610953236945521
746,0.000590469639697558
747,0.000572516908378898
748,0.000557105538643409
749,0.000540576116242017
750,0.000523209558349223
751,0.000505785105130127
752,0.000492954852340755
753,0.000475524422260552
754,0.000462941621440371
755,0.000450226501597225
756,0.000436585803907913
757,0.00042360684660351
758,0.000412950091245012
759,0.000399313040604989
760,0.000385249775366597
761,0.000373381662108141
762,0.000360538345025492
763,0.000348686432775621
764,0.000343459456554116
765,0.000330837854108106
766,0.000320734061381568
767,0.00030888322558395
768,0.000300470217768892
769,0.000294365541063868
770,0.000283774897220791
771,0.000276004543407517
772,0.000268292909792599
773,0.00025870294016447
774,0.000250766220681168
775,0.000241349697889196
776,0.000235857990295059
777,0.000229928109065597
778,0.000224550123460547
779,0.000218061806952425
780,0.000209676706618555
781,0.000203205099060289
782,0.000196985931607728
783,0.000191265599934092
784,0.000186178209768332
785,0.000181913247577069
786,0.000175488095978836
787,0.000169666179301344
788,0.00016517941314001
789,0.000162451592370715
790,0.000154297082723844
791,0.000153727488491356
792,0.000148899156539125
793,0.00014330053064403
794,0.000135613540098262
795,0.000134277395090793
796,0.000129706593390171
797,0.000125719917594892
798,0.00012563507076244
799,0.00011898336921302
800,0.000116081766290579
801,0.000112438214361019
802,0.000110002946424126
803,0.000106401622334816
804,0.000104205500684523
805,0.000100995822074127
806,9.78162073100933E-05
807,9.55697949059379E-05
808,9.2761197862526E-05
809,9.08068687391991E-05
810,8.84464856396266E-05
811,8.46043021080242E-05
812,8.47282733198998E-05
813,8.2184839556071E-05
814,7.69791533977185E-05
815,7.50190039089276E-05
816,7.39032033073427E-05
817,7.20043771163618E-05
818,7.05702756335396E-05
819,7.08167624962767E-05
820,6.98764368255139E-05
821,6.58805479587578E-05
822,6.2754559514568E-05
823,5.96265267519573E-05
824,6.04020573392527E-05
825,6.06475522541285E-05
826,5.96524103922155E-05
827,5.70538392675886E-05
828,5.50112100140669E-05
829,5.2143726171904E-05
830,5.09485589886661E-05
831,5.07149009778905E-05
832,4.95995011479808E-05
833,4.87516230438857E-05
834,4.85043476541593E-05
835,4.49882159618075E-05
836,4.21345033157992E-05
837,4.19442335740223E-05
838,4.16970205829205E-05
839,4.21677683162702E-05
840,4.06380550637992E-05
841,3.99399886114887E-05
842,3.78311557645784E-05
843,3.71241740439848E-05
844,3.59444437403241E-05
845,3.50217072868298E-05
846,3.62922716190081E-05
847,3.57676479556526E-05
848,3.40307343916539E-05
849,3.29835041718164E-05
850,3.06820498666874E-05
